com.samsung.shealth.food_frequent,6272009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2020-12-08 18:26:46.725,2020-12-08 18:26:46.725,0.99,0.99,0.99,5vLahzXBCy,com.sec.android.app.shealth,0.99,c192a6c4-8b96-4cd5-b04d-a9dbf92e8894,8047ed54-3275-4357-8555-c1ae6d9449a8,0.99,
0.95,2020-12-08 18:26:46.727,2020-12-08 18:26:46.727,0.95,0.95,0.95,5vLahzXBCy,com.sec.android.app.shealth,0.95,d5c0fa3f-e808-45de-b00d-ebd2e8af55da,97cad679-d67a-4385-9526-42fe6535ed5a,0.95,
0.91,2020-12-08 18:26:46.752,2020-12-08 18:26:46.752,0.91,0.91,0.91,5vLahzXBCy,com.sec.android.app.shealth,0.91,919a6cb8-b14e-4b69-83a2-f00a7be4c3a1,b24d7595-9a20-4bd3-aef1-4d11cbb1d265,0.91,
0.87,2020-12-08 18:26:46.754,2020-12-08 18:26:46.754,0.87,0.87,0.87,5vLahzXBCy,com.sec.android.app.shealth,0.87,c6c44309-eab8-4bb1-bcbc-e831f5157c49,2c0ca732-ad4e-47b9-a50a-1103a330cd61,0.87,
0.83,2020-12-08 18:26:46.756,2020-12-08 18:26:46.756,0.83,0.83,0.83,5vLahzXBCy,com.sec.android.app.shealth,0.83,6b335ef8-c3ba-4342-8948-08d46ff97beb,77402abf-0baf-41d0-a205-54adad46b08d,0.83,
0.79,2020-12-08 18:26:46.760,2020-12-08 18:26:46.760,0.79,0.79,0.79,5vLahzXBCy,com.sec.android.app.shealth,0.79,6c11f82e-dd12-459d-8fd0-a8638530841e,7b1c7c61-61ba-4a85-9cb2-9a7d86cedd8c,0.79,
0.75,2020-12-08 18:26:46.760,2020-12-08 18:26:46.760,0.75,0.75,0.75,5vLahzXBCy,com.sec.android.app.shealth,0.75,59992a50-b1ec-4cbb-b6c2-b43fad423c8e,c3f56298-eb97-4844-bf08-345635d32a82,0.75,
0.71,2020-12-08 18:26:46.761,2020-12-08 18:26:46.761,0.71,0.71,0.71,5vLahzXBCy,com.sec.android.app.shealth,0.71,372ab3a0-c7b2-4f5b-a306-cfedfbbaf5a9,79cdacd3-a2fb-47e9-a008-c36a17887982,0.71,
0.67,2020-12-08 18:26:46.761,2020-12-08 18:26:46.761,0.67,0.67,0.67,5vLahzXBCy,com.sec.android.app.shealth,0.67,e4669543-fd9a-4d55-843f-92f95f7efd33,1096875b-faeb-47e7-8c0d-f3d97e8fb56b,0.67,
0.63,2020-12-08 18:26:46.761,2020-12-08 18:26:46.761,0.63,0.63,0.63,5vLahzXBCy,com.sec.android.app.shealth,0.63,2742f8b0-c093-4857-97e1-da03b4ddabe6,0333559d-5552-4aa5-825b-77437e39d520,0.63,
0.0,2024-02-12 01:43:32.177,2024-02-12 01:43:32.177,0.0,0.0,1.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,6e0d292d-0152-49d6-8703-1aa07dad5f1d,4b0179b6-6ff4-4d81-9d06-e618943fd43d,0.0,
0.0,2024-02-12 01:45:52.644,2024-02-12 01:45:52.644,0.0,1.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,b792b25b-4fcb-4d29-97c7-e36405b1b249,1cfcc2ad-ec86-4e16-b4f3-263ed026553e,0.0,
1.0,2024-02-14 14:58:33.731,2024-02-12 01:52:28.310,0.0,0.0,3.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,5fa49512-75d7-4895-a978-ff9057571488,7be7f60c-0aeb-4e3f-aa26-bb7b4a1cab7c,0.0,
1.0,2024-02-12 02:13:28.119,2024-02-12 02:13:28.119,0.0,0.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,9cb50550-222a-4061-b7e8-b9d3d0fdfdac,16f53fe6-cd7b-40a6-9662-3a484ac0744f,0.0,
1.0,2024-02-14 04:08:37.666,2024-02-12 03:23:38.248,0.0,0.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,2.0,687f0328-dde2-4075-bdb9-d988c318521d,384b960a-a644-46e4-bb37-4d7b44e9f587,0.0,
0.0,2024-02-12 14:25:12.520,2024-02-12 14:25:12.520,0.0,0.0,1.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,a8475ca7-95c9-4185-903e-3ee399a7657a,de33916a-168f-41a8-ad72-2e449efaa89f,0.0,
0.0,2024-02-14 04:07:29.255,2024-02-13 02:05:22.408,0.0,0.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,6bdd2487-ff3c-4c18-9db7-b08158bbb9c1,a7452c14-61b5-4fde-b565-56d533f4ea1b,2.0,
0.0,2024-02-14 04:07:45.987,2024-02-13 02:05:22.421,0.0,0.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,068e2f93-2240-4303-b35e-cb03eac26be8,4f45e67c-5b31-46fe-ae03-3fce3846b6e5,2.0,
1.0,2024-02-15 12:27:21.837,2024-02-13 02:06:16.339,0.0,2.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,3d04c944-edf8-4f2a-b314-9f0b8db94fe2,c6d70c71-a45e-46c8-a832-bd9ed5a36304,0.0,
1.0,2024-02-14 14:58:33.740,2024-02-13 14:33:03.680,0.0,0.0,2.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,3ba09d2f-afa7-4038-ba81-cd4c219278e9,3397b60c-2417-40ca-9376-0fef7aafcdb1,0.0,
0.0,2024-02-14 04:06:58.627,2024-02-14 04:06:58.627,0.0,1.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,d0a11d64-7e61-4639-8318-a33ed7ca4dfc,b9628f14-5391-404a-b1ba-f189ce92a141,0.0,
0.0,2024-02-14 04:15:15.467,2024-02-14 04:15:15.467,0.0,1.0,0.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,0deac45d-8ffb-4a26-b349-245d6a2c0077,7f6df23c-421f-4299-8f40-c54db0d7a0ce,0.0,
0.0,2024-02-14 20:09:46.639,2024-02-14 20:09:46.639,0.0,0.0,1.0,5vLahzXBCy,com.sec.android.app.shealth,0.0,25cec30f-c493-4332-814b-21b90d18e02c,2c236ef4-d06f-4730-986d-101a8cb61328,0.0,
