com.samsung.shealth.sleep_snoring,6272009,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
0,62600630,2024-01-09 06:41:17.022,,62600630,2024-01-09 11:59:40.224,2024-01-09 11:59:40.224,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-09 11:59:40.136,aabdf8dd-546b-4701-8e52-408f52fee472,
0,62600630,2024-01-14 07:29:34.288,,62600630,2024-01-14 12:27:17.859,2024-01-14 12:27:17.859,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 12:27:17.815,3673bb1f-7bee-4580-b31e-18d0d24c54b1,
0,62600630,2024-01-14 13:41:44.442,,62600630,2024-01-14 16:22:07.888,2024-01-14 16:22:07.888,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 16:22:07.817,613931da-c1c9-4b19-b3e8-7d592099f392,
0,62600630,2024-01-14 16:33:43.417,,62600630,2024-01-14 18:31:24.082,2024-01-14 18:31:24.082,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 18:31:24.039,fda53fd9-1926-4861-ba86-d1692035bed6,
0,62600630,2024-01-15 09:20:16.890,,62600630,2024-01-15 14:02:44.273,2024-01-15 14:02:44.273,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-15 14:02:44.229,24bb5c1c-23b3-48db-971f-d041a46d5c3b,
0,62600630,2024-01-18 04:54:44.319,,62600630,2024-01-18 12:08:48.836,2024-01-18 12:08:48.836,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-18 12:08:48.752,1bbaf7e0-4212-4627-bc88-94f065e30b9a,
0,62660010,2024-05-09 09:43:50.832,,62660010,2024-05-09 10:45:13.182,2024-05-09 10:45:13.182,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-05-09 10:45:13.132,0b267125-39be-4bd4-96bc-7c8f59b884f9,
0,62660010,2024-05-09 11:01:18.655,,62660010,2024-05-09 11:08:21.335,2024-05-09 11:08:21.335,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-05-09 11:08:21.309,8fbb3b66-9d81-4843-b54c-37810a316cf7,
0,62660010,2024-05-29 19:51:37.179,,62660010,2024-05-29 20:05:21.192,2024-05-29 20:05:21.192,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-05-29 20:05:20.927,c7357327-a9f6-4409-90e0-f1a82bdb0b14,
0,62670070,2024-06-20 06:12:46.491,,62670070,2024-06-20 10:38:05.898,2024-06-20 10:38:05.898,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-06-20 10:38:05.840,6c2b4256-84da-46bf-92f2-7e39a191bbb8,
